Sat Oct 27 17:02:02 2018 | info:    Initializing logging (OMSimulator v2.0.0-dev-834-g7090a47-linux)
Sat Oct 27 17:02:02 2018 | info:    New temp directory: "/home/farkasr/git/OMSimulator/StepSizeController/Thermostat/tmp"
Sat Oct 27 17:02:02 2018 | error:   [fmiLogger] module FMI2XML: Initial 'approx' is not allowed for variability 'continuous' and causality 'input'. Setting initial to 'Undefined' for variable 'Thermostat_HeatingControlPort_set_hysteresis_intervallum'
Sat Oct 27 17:02:02 2018 | error:   [fmiLogger] module FMI2XML: Initial 'approx' is not allowed for variability 'continuous' and causality 'input'. Setting initial to 'Undefined' for variable 'Thermostat_ThermostatControlPort_turn_thermostat_off'
Sat Oct 27 17:02:02 2018 | error:   [fmiLogger] module FMI2XML: Initial 'approx' is not allowed for variability 'continuous' and causality 'input'. Setting initial to 'Undefined' for variable 'Thermostat_TemperatureStreamPort_measured_temperature'
Sat Oct 27 17:02:02 2018 | error:   [fmiLogger] module FMI2XML: Initial 'approx' is not allowed for variability 'continuous' and causality 'input'. Setting initial to 'Undefined' for variable 'Thermostat_ThermostatControlPort_turn_thermostat_on'
Sat Oct 27 17:02:02 2018 | error:   [fmiLogger] module FMI2XML: Initial 'approx' is not allowed for variability 'continuous' and causality 'input'. Setting initial to 'Undefined' for variable 'Thermostat_ThermostatControlPort_set_target_temperature'
Sat Oct 27 17:02:02 2018 | error:   [fmiLogger] module FMI2XML: Initial 'approx' is not allowed for variability 'continuous' and causality 'input'. Setting initial to 'Undefined' for variable 'Thermostat_TemperatureStreamPort_measured_temperature_measured_temperature'
Sat Oct 27 17:02:02 2018 | error:   [fmiLogger] module FMI2XML: Initial 'approx' is not allowed for variability 'continuous' and causality 'input'. Setting initial to 'Undefined' for variable 'Thermostat_TemperatureStreamPort_measured_temperature_measured_temperature1'
Sat Oct 27 17:02:02 2018 | error:   [fmiLogger] module FMI2XML: Initial 'approx' is not allowed for variability 'continuous' and causality 'input'. Setting initial to 'Undefined' for variable 'Thermostat_TemperatureStreamPort_measured_temperature_measured_temperature2'
Sat Oct 27 17:02:02 2018 | error:   [fmiLogger] module FMI2XML: Initial 'approx' is not allowed for variability 'continuous' and causality 'input'. Setting initial to 'Undefined' for variable 'Thermostat_ThermostatControlPort_set_target_temperature_target_temperature'
Sat Oct 27 17:02:02 2018 | error:   [fmiLogger] module FMI2XML: Initial 'approx' is not allowed for variability 'continuous' and causality 'input'. Setting initial to 'Undefined' for variable 'Thermostat_ThermostatControlPort_set_target_temperature_target_temperature1'
Sat Oct 27 17:02:02 2018 | error:   [fmiLogger] module FMI2XML: Initial 'approx' is not allowed for variability 'continuous' and causality 'input'. Setting initial to 'Undefined' for variable 'Thermostat_ThermostatControlPort_set_target_temperature_target_temperature2'
Sat Oct 27 17:02:02 2018 | error:   [fmiLogger] module FMI2XML: Initial 'approx' is not allowed for variability 'continuous' and causality 'input'. Setting initial to 'Undefined' for variable 'Thermostat_HeatingControlPort_set_hysteresis_intervallum_hysteresis_intervallum'
Sat Oct 27 17:02:02 2018 | error:   [fmiLogger] module FMI2XML: Initial 'approx' is not allowed for variability 'continuous' and causality 'input'. Setting initial to 'Undefined' for variable 'Thermostat_HeatingControlPort_set_hysteresis_intervallum_hysteresis_intervallum1'
Sat Oct 27 17:02:02 2018 | error:   [fmiLogger] module FMI2XML: Initial 'approx' is not allowed for variability 'continuous' and causality 'input'. Setting initial to 'Undefined' for variable 'Thermostat_HeatingControlPort_set_hysteresis_intervallum_hysteresis_intervallum2'
Sat Oct 27 17:02:02 2018 | info:    Result file: ThermostatConstant4.mat (bufferSize=1)
Sat Oct 27 17:02:02 2018 | info:    Removed model from scope: ThermostatExample
Sat Oct 27 17:02:02 2018 | info:    Logging completed properly
