"sep=,"
"time", "wallTime", "Car.color", "Light.color"
0, 0, 1, 1
0.005, 0.000380467, 1, 1
0.005, 0.000484715, 1, 1
0.01, 0.000843616, 1, 1
0.01, 0.000902927, 1, 1
0.015, 0.001271325, 1, 1
0.015, 0.001331567, 1, 1
0.02, 0.001679688, 1, 1
0.02, 0.00173879, 1, 1
0.025, 0.002089339, 1, 1
0.025, 0.002149012, 1, 1
0.03, 0.002496534, 1, 1
0.03, 0.002555804, 1, 1
0.035, 0.002905986, 1, 1
0.035, 0.002965523, 1, 1
0.04, 0.003314494, 1, 1
0.04, 0.003373809, 1, 1
0.045, 0.003724608, 1, 1
0.045, 0.003784583, 1, 1
0.05, 0.004137548, 1, 1
0.05, 0.004195019, 1, 1
0.055, 0.004558059, 1, 1
0.055, 0.004616299, 1, 1
0.06, 0.00495387, 1, 1
0.06, 0.005011393, 1, 1
0.065, 0.005351995, 1, 1
0.065, 0.005409877, 1, 1
0.07, 0.005747009, 1, 1
0.07, 0.005804572, 1, 1
0.075, 0.006147601, 1, 1
0.075, 0.006206228, 1, 1
0.08, 0.006543615, 1, 1
0.08, 0.006601574, 1, 1
0.085, 0.006939677, 1, 1
0.085, 0.007001113, 1, 1
0.09, 0.007338825, 1, 1
0.09, 0.007396537, 1, 1
0.095, 0.007736135, 1, 1
0.095, 0.007797758, 1, 1
0.1, 0.00814363, 1, 1
0.1, 0.008202983, 1, 1
0.105, 0.008575624, 1, 1
0.105, 0.008637464, 1, 1
0.11, 0.00897652, 1, 1
0.11, 0.009034125, 1, 1
0.115, 0.009373023, 1, 1
0.115, 0.009434199, 1, 1
0.12, 0.009771579, 1, 1
0.12, 0.009829343, 1, 1
0.125, 0.010167823, 1, 1
0.125, 0.0102292, 1, 1
0.13, 0.010567925, 1, 1
0.13, 0.010625856, 1, 1
0.135, 0.011051031, 1, 1
0.135, 0.011123157, 1, 1
0.14, 0.011548464, 1, 1
0.14, 0.011606367, 1, 1
0.145, 0.011971551, 1, 1
0.145, 0.012032925, 1, 1
0.15, 0.012369319, 1, 1
0.15, 0.012442434, 1, 1
0.155, 0.012807141, 1, 1
0.155, 0.01287172, 1, 1
0.16, 0.01323027, 1, 1
0.16, 0.013291268, 1, 1
0.165, 0.013647985, 1, 1
0.165, 0.013713288, 1, 1
0.17, 0.014073436, 1, 1
0.17, 0.014134981, 1, 1
0.175, 0.014495752, 1, 1
0.175, 0.014563327, 1, 1
0.18, 0.014923361, 1, 1
0.18, 0.014984606, 1, 1
0.185, 0.015343925, 1, 1
0.185, 0.015411956, 1, 1
0.19, 0.015773397, 1, 1
0.19, 0.015834705, 1, 1
0.195, 0.016238809, 1, 1
0.195, 0.016302448, 1, 1
0.2, 0.016666182, 1, 1
0.2, 0.016725773, 1, 1
0.205, 0.017073712, 1, 1
0.205, 0.017135932, 1, 1
0.21, 0.017483743, 1, 1
0.21, 0.017543099, 1, 1
0.215, 0.017934529, 1, 1
0.215, 0.017996594, 1, 1
0.22, 0.018376408, 1, 1
0.22, 0.018477869, 1, 1
0.225, 0.018845293, 1, 1
0.225, 0.018907133, 1, 1
0.23, 0.019254315, 1, 1
0.23, 0.019313609, 1, 1
0.235, 0.019661087, 1, 1
0.235, 0.019723218, 1, 1
0.24, 0.020071863, 1, 1
0.24, 0.020131294, 1, 1
0.245, 0.020505608, 1, 1
0.245, 0.020568797, 1, 1
0.25, 0.020918056, 1, 1
0.25, 0.020977653, 1, 1
0.255, 0.021325632, 1, 1
0.255, 0.021387893, 1, 1
0.26, 0.021734915, 1, 1
0.26, 0.021793952, 1, 1
0.265, 0.022148531, 1, 1
0.265, 0.022219828, 1, 1
0.27, 0.022592437, 1, 1
0.27, 0.02265024, 1, 1
0.275, 0.022987705, 1, 1
0.275, 0.023048182, 1, 1
0.28, 0.023389008, 1, 1
0.28, 0.023446677, 1, 1
0.285, 0.023786412, 1, 1
0.285, 0.023844047, 1, 1
0.29, 0.02418617, 1, 1
0.29, 0.024243848, 1, 1
0.295, 0.02460947, 1, 1
0.295, 0.024667248, 1, 1
0.3, 0.025009408, 1, 1
0.3, 0.025066966, 1, 1
0.305, 0.02540369, 1, 1
0.305, 0.025461183, 1, 1
0.31, 0.025802553, 1, 1
0.31, 0.0258604, 1, 1
0.315, 0.026198581, 1, 1
0.315, 0.026256421, 1, 1
0.32, 0.026598769, 1, 1
0.32, 0.026656523, 1, 1
0.325, 0.027040255, 1, 1
0.325, 0.02712059, 1, 1
0.33, 0.027484386, 1, 1
0.33, 0.02754173, 1, 1
0.335, 0.02788334, 1, 1
0.335, 0.027941467, 1, 1
0.34, 0.028287363, 1, 1
0.34, 0.028345846, 1, 1
0.345, 0.028729607, 1, 1
0.345, 0.028788692, 1, 1
0.35, 0.029150099, 1, 1
0.35, 0.029209337, 1, 1
0.355, 0.029569418, 1, 1
0.355, 0.029640681, 1, 1
0.36, 0.029998438, 1, 1
0.36, 0.030059719, 1, 1
0.365, 0.030420115, 1, 1
0.365, 0.03047969, 1, 1
0.37, 0.030830968, 1, 1
0.37, 0.030890343, 1, 1
0.375, 0.031240089, 1, 1
0.375, 0.031299629, 1, 1
0.38, 0.031650464, 1, 1
0.38, 0.031709604, 1, 1
0.385, 0.032067852, 1, 1
0.385, 0.032125329, 1, 1
0.39, 0.032564319, 1, 1
0.39, 0.032624298, 1, 1
0.395, 0.032974225, 1, 1
0.395, 0.033033592, 1, 1
0.4, 0.033386186, 1, 1
0.4, 0.033445741, 1, 1
0.405, 0.033797218, 1, 1
0.405, 0.033856781, 1, 1
0.41, 0.034236417, 1, 1
0.41, 0.034295984, 1, 1
0.415, 0.034647787, 1, 1
0.415, 0.034706859, 1, 1
0.42, 0.03507364, 1, 1
0.42, 0.035132399, 1, 1
0.425, 0.035479121, 1, 1
0.425, 0.035538021, 1, 1
0.43, 0.035887968, 1, 1
0.43, 0.035946978, 1, 1
0.435, 0.03629765, 1, 1
0.435, 0.036354716, 1, 1
0.44, 0.036724781, 1, 1
0.44, 0.036782337, 1, 1
0.445, 0.037144407, 1, 1
0.445, 0.037236485, 1, 1
0.45, 0.037603777, 1, 1
0.45, 0.037660845, 1, 1
0.455, 0.037997839, 1, 1
0.455, 0.038055099, 1, 1
0.46, 0.038395781, 1, 1
0.46, 0.03845323, 1, 1
0.465, 0.038791834, 1, 1
0.465, 0.038849355, 1, 1
0.47, 0.039189958, 1, 1
0.47, 0.039246972, 1, 1
0.475, 0.039583975, 1, 1
0.475, 0.039641241, 1, 1
0.48, 0.040072733, 1, 1
0.48, 0.0401299, 1, 1
0.485, 0.040478174, 1, 1
0.485, 0.040535866, 1, 1
0.49, 0.040872777, 1, 1
0.49, 0.04093012, 1, 1
0.495, 0.041267961, 1, 1
0.495, 0.041325395, 1, 1
0.5, 0.041660332, 1, 1
0.5, 0.041717775, 1, 1
0.505, 0.042056117, 1, 1
0.505, 0.042113459, 1, 1
0.51, 0.042449652, 1, 1
0.51, 0.042507222, 1, 1
0.515, 0.042917415, 1, 2
0.515, 0.042974891, 2, 2
0.52, 0.043384188, 2, 2
0.52, 0.043442043, 2, 2
0.525, 0.043800836, 2, 2
0.525, 0.043858256, 2, 2
0.53, 0.044197603, 2, 2
0.53, 0.044255335, 2, 2
0.535, 0.044618596, 2, 2
0.535, 0.044676448, 2, 2
0.54, 0.045017981, 2, 2
0.54, 0.045075917, 2, 2
0.545, 0.045411127, 2, 2
0.545, 0.045468461, 2, 2
0.55, 0.045807626, 2, 2
0.55, 0.045865597, 2, 2
0.555, 0.046317235, 2, 2
0.555, 0.046397864, 2, 2
0.56, 0.046799031, 2, 2
0.56, 0.046860419, 2, 2
0.565, 0.047217267, 2, 2
0.565, 0.047278385, 2, 2
0.57, 0.047638857, 2, 2
0.57, 0.047699961, 2, 2
0.575, 0.048057526, 2, 2
0.575, 0.048118584, 2, 2
0.58, 0.048504493, 2, 2
0.58, 0.048565837, 2, 2
0.585, 0.048926048, 2, 2
0.585, 0.048986844, 2, 2
0.59, 0.049345474, 2, 2
0.59, 0.049406672, 2, 2
0.595, 0.049761938, 2, 2
0.595, 0.049822843, 2, 2
0.6, 0.050189214, 2, 2
0.6, 0.05024862, 2, 2
0.605, 0.050595447, 2, 2
0.605, 0.050654178, 2, 2
0.61, 0.051003208, 2, 2
0.61, 0.051062472, 2, 2
0.615, 0.051409057, 2, 2
0.615, 0.051467928, 2, 2
0.62, 0.05181695, 2, 2
0.62, 0.051875908, 2, 2
