"time","wallTime","wc2.P.x [m]","wc2.P.v [m/s]","wc2.P.F [N]","wc1.P.x [m]","wc1.P.v [m/s]","wc1.P.F [N]"
0,2.3767e-05,0,0,0,0,0,0
0,3.0777e-05,0,0,0,0,0,0
0,3.5056e-05,0,0,0,0,0,0
0,3.9264e-05,0,0,0,0,0,0
0,4.3432e-05,0,0,0,0,0,0
0,4.7602e-05,0,0,0,0,0,0
0,5.1904e-05,0,0,0,0,0,0
0,5.6136e-05,0,0,0,0,0,0
0,6.0301e-05,0,0,0,0,0,0
0,6.7911e-05,0,0,0,0,0,0
0.0005,1.62395,0,0,0,0,0,0
0.0005,1.62397,0,0,0,0,0,0
0.0005,1.62399,0,0,0,0,0,0
0.0005,1.62402,0,0,0,0,0,0
0.0005,1.62404,0,0,0,0,0,0
0.0005,1.62437,0,0,0,0,0,0
0.0005,1.6244,0,0,0,0,0,0
0.0005,1.62443,0,0,0,0,0,0
0.0005,1.62445,0,0,0,0,0,0
0.0005,1.62448,0,0,0,0,0,0
0.0005,1.62452,0,0,0,0,0,0
0.0005,1.62455,0,0,0,0,0,0
0.0005,1.62457,0,0,0,0,0,0
0.0005,1.62459,0,0,0,0,0,0
0.0005,1.62462,0,0,0,0,0,0
0.0005,1.62464,0,0,0,0,0,0
0.0006,1.62472,0,0,0,0,0,0
0.0007,1.62475,0,0,0,0,0,0
0.0008,1.62478,0,0,0,0,0,0
0.0009,1.62481,0,0,0,0,0,0
0.001,1.62484,0,0,0,0,0,0
0.0011,1.62489,0,0,0,0,0,0
0.0012,1.62492,0,0,0,0,0,0
0.0013,1.62495,0,0,0,0,0,0
0.0014,1.62497,0,0,0,0,0,0
0.0015,1.625,0,0,0,0,0,0
0.0016,1.62541,0,0,0,0,0,0
0.0017,1.62543,0,0,0,0,0,0
0.0018,1.62545,0,0,0,0,0,0
0.0019,1.62546,0,0,0,0,0,0
0.002,1.62548,0,0,0,0,0,0
0.0021,1.6255,0,0,0,0,0,0
0.0022,1.62552,0,0,0,0,0,0
0.0023,1.62553,0,0,0,0,0,0
0.0024,1.62555,0,0,0,0,0,0
0.0025,1.62557,0,0,0,0,0,0
0.0026,1.6256,0,0,0,0,0,0
0.0027,1.62561,0,0,0,0,0,0
0.0028,1.62563,0,0,0,0,0,0
0.0029,1.62565,0,0,0,0,0,0
0.003,1.62566,0,0,0,0,0,0
0.0031,1.62572,0,0,0,0,0,0
0.0032,1.62574,0,0,0,0,0,0
0.0033,1.62575,0,0,0,0,0,0
0.0034,1.62577,0,0,0,0,0,0
0.0035,1.62579,0,0,0,0,0,0
0.0036,1.6258,0,0,0,0,0,0
0.0037,1.62582,0,0,0,0,0,0
0.0038,1.62583,0,0,0,0,0,0
0.0039,1.62584,0,0,0,0,0,0
0.004,1.62588,0,0,0,0,0,0
0.0041,1.62589,0,0,0,0,0,0
0.0042,1.62589,0,0,0,0,0,0
0.0043,1.6259,0,0,0,0,0,0
0.0044,1.62592,0,0,0,0,0,0
0.0045,1.62594,0,0,0,0,0,0
0.0046,1.62595,0,0,0,0,0,0
0.0047,1.62596,0,0,0,0,0,0
0.0048,1.62597,0,0,0,0,0,0
0.0049,1.62598,0,0,0,0,0,0
0.005,1.62601,0,0,0,0,0,0
