"time","wallTime","wc2.P.x [m]","wc2.P.v [m/s]","wc2.P.F [N]","wc1.P.x [m]","wc1.P.v [m/s]","wc1.P.F [N]"
0,3.9105e-05,0,0,0,0,0,0
0,7.3009e-05,0,0,0,0,0,0
0,9.6706e-05,0,0,0,0,0,0
0,0.000135144,0,0,0,0,0,0
0,0.000159169,0,0,0,0,0,0
0,0.000182348,0,0,0,0,0,0
0,0.000208891,0,0,0,0,0,0
0,0.000234803,0,0,0,0,0,0
0,0.000260762,0,0,0,0,0,0
0,0.000286597,0,0,0,0,0,0
0.0005,4.62327,0,0,0,0,0,0
0.0005,4.62332,0,0,0,0,0,0
0.0005,4.62339,0,0,0,0,0,0
0.0005,4.62344,0,0,0,0,0,0
0.0005,4.62349,0,0,0,0,0,0
0.0005,4.62358,0,0,0,0,0,0
0.0005,4.62362,0,0,0,0,0,0
0.0005,4.62366,0,0,0,0,0,0
0.0005,4.62369,0,0,0,0,0,0
0.0005,4.62373,0,0,0,0,0,0
0.0005,4.66621,0,0,0,0,0,0
0.0005,4.66623,0,0,0,0,0,0
0.0005,4.66625,0,0,0,0,0,0
0.0005,4.66628,0,0,0,0,0,0
0.0005,4.6663,0,0,0,0,0,0
0.0005,4.66632,0,0,0,0,0,0
0.0006,4.66636,0,0,0,0,0,0
0.0007,4.66638,0,0,0,0,0,0
0.0008,4.66639,0,0,0,0,0,0
0.0009,4.66641,0,0,0,0,0,0
0.001,4.66643,0,0,0,0,0,0
0.0011,4.6665,0,0,0,0,0,0
0.0012,4.66651,0,0,0,0,0,0
0.0013,4.66653,0,0,0,0,0,0
0.0014,4.66655,0,0,0,0,0,0
0.0015,4.66656,0,0,0,0,0,0
0.0016,4.66663,0,0,0,0,0,0
0.0017,4.66664,0,0,0,0,0,0
0.0018,4.66667,0,0,0,0,0,0
0.0019,4.66668,0,0,0,0,0,0
0.002,4.6667,0,0,0,0,0,0
0.0021,4.66675,0,0,0,0,0,0
0.0022,4.66678,0,0,0,0,0,0
0.0023,4.66679,0,0,0,0,0,0
0.0024,4.66682,0,0,0,0,0,0
0.0025,4.66683,0,0,0,0,0,0
0.0026,4.66689,0,0,0,0,0,0
0.0027,4.66691,0,0,0,0,0,0
0.0028,4.66692,0,0,0,0,0,0
0.0029,4.66694,0,0,0,0,0,0
0.003,4.66695,0,0,0,0,0,0
0.0031,4.66703,0,0,0,0,0,0
0.0032,4.66704,0,0,0,0,0,0
0.0033,4.66705,0,0,0,0,0,0
0.0034,4.66707,0,0,0,0,0,0
0.0035,4.66714,0,0,0,0,0,0
0.0036,4.66715,0,0,0,0,0,0
0.0037,4.66716,0,0,0,0,0,0
0.0038,4.66718,0,0,0,0,0,0
0.0039,4.6672,0,0,0,0,0,0
0.004,4.66727,0,0,0,0,0,0
0.0041,4.6673,0,0,0,0,0,0
0.0042,4.66731,0,0,0,0,0,0
0.0043,4.66734,0,0,0,0,0,0
0.0044,4.66735,0,0,0,0,0,0
0.0045,4.66741,0,0,0,0,0,0
0.0046,4.66744,0,0,0,0,0,0
0.0047,4.66745,0,0,0,0,0,0
0.0048,4.66748,0,0,0,0,0,0
0.0049,4.6675,0,0,0,0,0,0
0.005,4.66759,0,0,0,0,0,0
