"time","wallTime","wc2.P.R[cG][cG](1) [m]","wc2.P.R[cG][cG](2) [m]","wc2.P.R[cG][cG](3) [m]","wc2.P.phi[cG](1) [rad]","wc2.P.phi[cG](2) [rad]","wc2.P.phi[cG](3) [rad]","wc2.P.A(1,1) [-]","wc2.P.A(1,2) [-]","wc2.P.A(1,3) [-]","wc2.P.A(2,1) [-]","wc2.P.A(2,2) [-]","wc2.P.A(2,3) [-]","wc2.P.A(3,1) [-]","wc2.P.A(3,2) [-]","wc2.P.A(3,3) [-]","wc2.P.vR[cG][cG,cG](1) [m/s]","wc2.P.vR[cG][cG,cG](2) [m/s]","wc2.P.vR[cG][cG,cG](3) [m/s]","wc2.P.Omega[cG][cG](1) [rad/s]","wc2.P.Omega[cG][cG](2) [rad/s]","wc2.P.Omega[cG][cG](3) [rad/s]","wc2.P.F_tie[cG](1) [N]","wc2.P.F_tie[cG](2) [N]","wc2.P.F_tie[cG](3) [N]","wc2.P.M_tie[cG][cG](1) [Nm]","wc2.P.M_tie[cG][cG](2) [Nm]","wc2.P.M_tie[cG][cG](3) [Nm]","wc1.P.R[cG][cG](1) [m]","wc1.P.R[cG][cG](2) [m]","wc1.P.R[cG][cG](3) [m]","wc1.P.phi[cG](1) [rad]","wc1.P.phi[cG](2) [rad]","wc1.P.phi[cG](3) [rad]","wc1.P.A(1,1) [-]","wc1.P.A(1,2) [-]","wc1.P.A(1,3) [-]","wc1.P.A(2,1) [-]","wc1.P.A(2,2) [-]","wc1.P.A(2,3) [-]","wc1.P.A(3,1) [-]","wc1.P.A(3,2) [-]","wc1.P.A(3,3) [-]","wc1.P.vR[cG][cG,cG](1) [m/s]","wc1.P.vR[cG][cG,cG](2) [m/s]","wc1.P.vR[cG][cG,cG](3) [m/s]","wc1.P.Omega[cG][cG](1) [rad/s]","wc1.P.Omega[cG][cG](2) [rad/s]","wc1.P.Omega[cG][cG](3) [rad/s]","wc1.P.F_tie[cG](1) [N]","wc1.P.F_tie[cG](2) [N]","wc1.P.F_tie[cG](3) [N]","wc1.P.M_tie[cG][cG](1) [Nm]","wc1.P.M_tie[cG][cG](2) [Nm]","wc1.P.M_tie[cG][cG](3) [Nm]"
0,1.0152e-05,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8e-05,1.63259,-1.99948e-08,0,2.46387e-17,0,-1.72434e-08,0,1,0,1.72434e-08,0,1,0,-1.72434e-08,0,1,-0.000495764,0,2.34929e-12,0,-0.000718063,0,1.71256,0,-1.30211e-07,0,0.00164831,0,-3.05772e-08,0,0.5,0,-6.11544e-08,0,1,0,6.11544e-08,0,1,0,-6.11544e-08,0,1,-0.000727117,-0,-4.44663e-11,0,-0.00145423,0,5.46797,0,4.56702e-07,0,0.135167,0
0.00018,1.63727,-9.77778e-08,0,1.39193e-15,0,-1.44148e-07,0,1,0,1.44148e-07,0,1,0,-1.44148e-07,0,1,-0.00110085,0,2.9869e-11,0,-0.00184777,0,1.41285,0,-2.04874e-06,0,-0.0284758,0,-1.25884e-07,0,0.5,0,-2.51768e-07,0,1,0,2.51768e-07,0,1,0,-2.51768e-07,0,1,-0.00117778,-0,-2.96528e-10,0,-0.00235556,0,6.04888,0,3.50607e-06,0,0.169954,0
0.00028,1.64138,-2.35508e-07,0,5.82345e-15,0,-3.86495e-07,0,1,0,3.86495e-07,0,1,0,-3.86495e-07,0,1,-0.00166631,0,5.55897e-11,0,-0.00310969,0,1.89267,0,-7.88669e-06,0,-0.0271159,0,-2.64407e-07,0,0.5,0,-5.28814e-07,0,1,0,5.28814e-07,0,1,0,-5.28814e-07,0,1,-0.00162875,-0,-8.61303e-10,0,-0.00325749,0,5.49615,0,1.14901e-05,0,0.183488,0
0.00038,1.64545,-4.26185e-07,0,9.73934e-15,0,-7.65527e-07,0,1,0,7.65527e-07,0,1,0,-7.65527e-07,0,1,-0.00216837,0,-1.09414e-11,0,-0.00455167,0,2.07885,0,-2.0265e-05,0,0.00580591,0,-4.51473e-07,0,0.5,0,-9.02945e-07,0,1,0,9.02945e-07,0,1,0,-9.02945e-07,0,1,-0.00214451,-0,-1.93638e-09,0,-0.00428902,0,5.32032,0,2.79371e-05,0,0.168696,0
0.00048,1.64953,-6.66903e-07,0,-6.32052e-15,0,-1.28815e-06,0,1,0,1.28815e-06,0,1,0,-1.28815e-06,0,1,-0.00267536,0,-4.15189e-10,0,-0.00595394,0,2.08427,0,-4.1143e-05,0,0.053946,0,-6.9111e-07,0,0.5,0,-1.38222e-06,0,1,0,1.38222e-06,0,1,0,-1.38222e-06,0,1,-0.00267464,-0,-3.69694e-09,0,-0.00534928,0,5.40741,0,5.57408e-05,0,0.122898,0
0.00058,1.6536,-9.59478e-07,0,-9.29271e-14,0,-1.94602e-06,0,1,0,1.94602e-06,0,1,0,-1.94602e-06,0,1,-0.00320603,0,-1.5207e-09,0,-0.00725225,0,2.17197,0,-7.08918e-05,0,0.113429,0,-9.83741e-07,0,0.5,0,-1.96748e-06,0,1,0,1.96748e-06,0,1,0,-1.96748e-06,0,1,-0.00320532,-0,-6.30641e-09,0,-0.00641065,0,5.50297,0,9.60592e-05,0,0.058596,0
0.00068,1.65766,-1.30593e-06,0,-3.38243e-13,0,-2.72946e-06,0,1,0,2.72946e-06,0,1,0,-2.72946e-06,0,1,-0.00375226,0,-3.70391e-09,0,-0.00846437,0,2.30411,0,-0.000108827,0,0.18045,0,-1.32985e-06,0,0.5,0,-2.65971e-06,0,1,0,2.65971e-06,0,1,0,-2.65971e-06,0,1,-0.00374642,-0,-9.96439e-09,0,-0.00749284,0,5.53749,0,0.000148624,0,-0.0131907,0
0.00078,1.66174,-1.70753e-06,0,-8.66814e-13,0,-3.63051e-06,0,1,0,3.63051e-06,0,1,0,-3.63051e-06,0,1,-0.00430946,0,-7.31129e-09,0,-0.0096007,0,2.45283,0,-0.000153686,0,0.248331,0,-1.73079e-06,0,0.5,0,-3.46159e-06,0,1,0,3.46159e-06,0,1,0,-3.46159e-06,0,1,-0.00430266,-0,-1.4894e-08,0,-0.00860532,0,5.58515,0,0.000212201,0,-0.0844659,0
0.00088,1.66581,-2.16538e-06,0,-1.83571e-12,0,-4.64159e-06,0,1,0,4.64159e-06,0,1,0,-4.64159e-06,0,1,-0.00487779,0,-1.26404e-08,0,-0.0106621,0,2.577,0,-0.000203917,0,0.309267,0,-2.18802e-06,0,0.5,0,-4.37604e-06,0,1,0,4.37604e-06,0,1,0,-4.37604e-06,0,1,-0.00487228,-0,-2.13213e-08,0,-0.00974455,0,5.63591,0,0.000284986,0,-0.149078,0
0.00098,1.66993,-2.68056e-06,0,-3.42847e-12,0,-5.75559e-06,0,1,0,5.75559e-06,0,1,0,-5.75559e-06,0,1,-0.00545608,0,-1.99173e-08,0,-0.011658,0,2.67781,0,-0.000258163,0,0.357867,0,-2.70271e-06,0,0.5,0,-5.40542e-06,0,1,0,5.40542e-06,0,1,0,-5.40542e-06,0,1,-0.00545194,-0,-2.947e-08,0,-0.0109039,0,5.6836,0,0.00036512,0,-0.200889,0
0.00108,1.67398,-3.25392e-06,0,-5.84776e-12,0,-6.96673e-06,0,1,0,6.96673e-06,0,1,0,-6.96673e-06,0,1,-0.00604133,0,-2.92966e-08,0,-0.012606,0,2.75071,0,-0.000315627,0,0.390235,0,-3.27572e-06,0,0.5,0,-6.55145e-06,0,1,0,6.55145e-06,0,1,0,-6.55145e-06,0,1,-0.00603853,-0,-3.95611e-08,0,-0.0120771,0,5.72134,0,0.000451311,0,-0.235872,0
0.00118,1.67804,-3.886e-06,0,-9.30913e-12,0,-8.27123e-06,0,1,0,8.27123e-06,0,1,0,-8.27123e-06,0,1,-0.00662998,0,-4.08851e-08,0,-0.0135276,0,2.78611,0,-0.000376273,0,0.404656,0,-3.90759e-06,0,0.5,0,-7.81519e-06,0,1,0,7.81519e-06,0,1,0,-7.81519e-06,0,1,-0.00662868,-0,-5.18044e-08,0,-0.0132574,0,5.74286,0,0.00054307,0,-0.25187,0
0.00128,1.6822,-4.57697e-06,0,-1.40378e-11,0,-9.6675e-06,0,1,0,9.6675e-06,0,1,0,-9.6675e-06,0,1,-0.00721853,0,-5.47728e-08,0,-0.0144446,0,2.78763,0,-0.000440694,0,0.401221,0,-4.59851e-06,0,0.5,0,-9.19702e-06,0,1,0,9.19702e-06,0,1,0,-9.19702e-06,0,1,-0.00721881,-0,-6.63915e-08,0,-0.0144376,0,5.75267,0,0.000640718,0,-0.248962,0
0.00138,1.68624,-5.32667e-06,0,-2.02683e-11,0,-1.11561e-05,0,1,0,1.11561e-05,0,1,0,-1.11561e-05,0,1,-0.00780392,0,-7.10595e-08,0,-0.0153772,0,2.75456,0,-0.000509868,0,0.3818,0,-5.3483e-06,0,0.5,0,-1.06966e-05,0,1,0,1.06966e-05,0,1,0,-1.06966e-05,0,1,-0.00780562,-0,-8.34936e-08,0,-0.0156112,0,5.74724,0,0.00074512,0,-0.229121,0
